S&P Comp.,Dividend,Earnings,CPI,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,CAPE,TR CAPE,Monthly Total Bond Returns,Real Total Bond Returns
5.38,0.22,0.3,7.61,3.42,222.12,9.08,650.26,12.35,36.16,17.22,22.02,1.0,4.22
5.32,0.22,0.3,7.61,3.44,219.64,9.08,645.23,12.32,36.18,17.03,21.76,1.0,4.23
5.28,0.22,0.3,7.61,3.45,217.99,9.08,642.6,12.28,36.21,16.9,21.58,1.0,4.23
5.39,0.22,0.3,7.61,3.47,222.53,9.08,658.22,12.25,36.23,17.26,22.02,1.0,4.24
5.62,0.22,0.3,7.71,3.49,229.16,8.97,680.05,12.06,35.79,17.79,22.68,1.0,4.19
5.58,0.22,0.3,7.71,3.5,227.53,8.97,677.42,12.03,35.81,17.68,22.53,1.0,4.2
5.54,0.22,0.29,7.71,3.52,225.9,8.97,674.79,12.0,35.83,17.59,22.38,1.0,4.21
5.41,0.22,0.29,7.99,3.54,212.72,8.65,637.58,11.53,34.57,16.6,21.1,1.0,4.06
5.32,0.22,0.29,8.09,3.55,206.72,8.55,621.73,11.37,34.18,16.17,20.54,1.0,4.02
5.32,0.22,0.29,8.09,3.55,206.72,8.55,621.73,11.37,34.18,16.17,20.54,1.0,4.02
4.71,0.22,0.29,7.9,3.59,187.43,8.75,567.94,11.57,35.07,14.75,18.7,1.0,4.13
4.60,0.22,0.29,7.9,3.6,183.05,8.75,556.89,11.54,35.11,14.44,18.31,1.0,4.14
4.84,0.22,0.29,7.8,3.62,194.95,8.86,595.34,11.85,36.19,15.43,19.55,1.0,4.2
4.90,0.22,0.3,7.9,3.62,194.99,8.75,597.68,11.87,36.39,15.48,19.59,1.0,4.16
4.81,0.22,0.3,7.99,3.62,189.13,8.65,581.93,11.89,36.6,15.05,19.04,1.0,4.12
4.97,0.22,0.31,8.09,3.62,193.12,8.55,596.4,11.92,36.8,15.41,19.47,1.0,4.09
4.95,0.22,0.31,7.99,3.61,194.63,8.65,603.3,12.22,37.88,15.57,19.66,1.0,4.15
4.85,0.22,0.32,7.8,3.61,195.35,8.86,607.82,12.69,39.48,15.66,19.76,1.0,4.26
4.77,0.22,0.32,7.71,3.61,194.5,8.97,607.5,13.02,40.65,15.62,19.69,1.0,4.33
4.93,0.22,0.32,7.71,3.61,201.03,8.97,630.21,13.18,41.33,16.16,20.36,1.0,4.34
5.33,0.22,0.33,7.61,3.61,220.05,9.08,692.24,13.52,42.53,17.71,22.28,1.0,4.41
5.33,0.22,0.33,7.61,3.61,220.05,9.08,692.24,13.52,42.53,17.71,22.28,1.0,4.41
5.25,0.22,0.34,7.52,3.6,219.5,9.2,695.27,14.04,44.47,17.67,22.19,1.0,4.49
5.41,0.22,0.34,7.52,3.6,226.18,9.2,718.89,14.21,45.18,18.21,22.83,1.0,4.51
5.51,0.22,0.34,7.33,3.6,236.35,9.51,753.71,14.69,46.85,19.02,23.82,1.0,4.64
5.52,0.22,0.35,7.33,3.61,236.78,9.58,757.63,14.8,47.35,19.04,23.81,1.0,4.65
5.58,0.23,0.35,7.14,3.63,245.73,9.91,788.93,15.3,49.13,19.74,24.66,1.0,4.78
5.57,0.23,0.35,7.04,3.64,248.61,10.12,800.86,15.62,50.32,19.94,24.88,1.0,4.86
5.57,0.23,0.35,7.04,3.65,248.61,10.19,803.6,15.73,50.86,19.91,24.81,1.0,4.87
5.54,0.23,0.36,7.04,3.66,247.27,10.27,802.03,15.84,51.39,19.77,24.6,1.0,4.88
5.54,0.23,0.36,7.23,3.68,240.76,10.07,783.65,15.54,50.57,19.21,23.88,1.0,4.76
5.62,0.23,0.36,7.33,3.69,241.07,10.01,787.36,15.44,50.44,19.2,23.85,1.0,4.7
5.48,0.24,0.36,7.33,3.7,235.06,10.08,770.49,15.55,50.97,18.69,23.19,1.0,4.71
5.48,0.24,0.36,7.33,3.7,235.06,10.08,770.49,15.55,50.97,18.69,23.19,1.0,4.71
